GPStime,peakFreq,snr,Standard example?(y/n)
1239171477.971,72.366,171.421,y
1239105092.245,111.128,135.49,y
1251227879.783,60.857,132.359,n
1249590821.665,115.113,120.046,y
1239024432.762,47.124,92.556,y
1238769669.818,72.366,73.236,y
1238208337.975,72.366,67.994,n
1239363943.689,58.396,60.154,y
1249725807.033,49.208,207.063,y
1238750462.822,58.396,204.62,y
1243952298.934,39.789,186.337,y
1238334336.783,58.396,147.622,y
1238172375.192,111.128,123.405,y
1238478313.932,58.396,122.865,y
1238825979.096,72.366,111.396,y
1250047724.396,60.857,104.614,y
1238919051.744,72.366,89.865,y
1239103768.249,170.654,82.976,y
1243935136.451,60.857,81.148,y
1249817554.110,142.363,194.648,y
1248811653.045,49.208,156.797,y
1239004814.432,89.676,151.852,y
1238194885.236,72.366,122.521,y
1250317905.543,39.789,111.407,y
1238745362.096,89.676,109.757,y
1239011193.357,72.366,98.062,y
1238334429.029,58.396,74.141,y
1238249245.551,47.124,43.575,y
1247627506.338,60.857,142.371,y
1253218854.988,39.789,126.86,y
1249641704.600,60.857,119.635,y
1241506451.056,115.113,115.36,y
1252684863.150,49.208,114.192,y
1238614160.372,137.711,110.227,n
1239043874.851,111.128,94.105,y
1241431408.572,93.079,85.868,y
1245265360.082,39.789,279.972,y
1249688072.621,39.789,143.357,y
1243841262.826,49.208,140.841,y
1250083539.666,60.857,132.822,y
1238493235.021,89.676,109.115,y
1238841214.111,262.065,99.37,n
1239287563.338,58.396,88.883,y
1241131799.446,176.063,82.327,y
1239370371.199,47.124,59.074,y
1250061403.988,39.789,258.255,y
1239688316.889,72.366,194.03,y
1248250835.721,60.857,175.542,y
1238798952.978,111.128,155.159,y
1248748927.741,269.285,152.394,y
1240942501.221,75.263,149.25,y
1252975758.396,49.208,103.427,y
1239152846.322,72.366,100.329,y
1239022319.709,89.676,71.93,y
1238756947.125,402.439,61.45,n
1243755976.584,75.263,186.984,y
1244725756.209,269.285,139.294,y
1248389269.736,60.857,79.927,y
1249809315.346,75.263,70.752,n
1244809748.795,49.208,222.895,y
1238400238.221,58.396,184.823,n
1250628393.271,75.263,129.883,y
1244439520.232,60.857,94.313,y
1246968218.787,75.263,90.722,y
1238969283.209,89.676,85.858,y
1238589903.355,38.027,73.769,y
1247820808.098,39.789,66.278,y
1253344119.420,93.079,181.072,y
1248829561.178,75.263,178.479,y
1253442552.838,75.263,161.394,y
1248214781.337,115.113,146.874,y
1252678238.372,115.113,143.933,y
1250994892.115,93.079,138.492,y
1247277756.647,115.113,133.255,y
1238337265.369,72.366,116.524,y
1243299136.334,75.263,115.193,y
1247975599.518,93.079,107.847,y
1244466153.857,75.263,100.358,y
1238922082.691,47.124,98.024,y
1243502472.021,60.857,87.445,n
1238757073.447,72.366,59.449,y
1239917446.705,72.366,202.001,y
1241839324.568,93.079,143.278,y
1252835199.326,75.263,136.522,n
1238495996.592,58.396,135.591,y
1244153651.544,115.113,130.01,y
1238338600.932,89.676,110.743,n
1241656453.143,93.079,72.653,n
1241140325.998,75.263,201.163,y
1249551299.123,75.263,197.108,y
1244282340.065,142.363,186.128,y
1239161643.920,58.396,117.777,n
1243581396.174,75.263,248.011,y
1244069844.636,115.113,135.378,y
1243319644.166,75.263,104.707,y
1252871563.893,93.079,102.619,y
1238466913.814,58.396,69.336,y
1243311679.264,49.208,186.986,y
1239205483.072,72.366,148.542,n
1241166368.084,93.079,145.042,y